dt_pregao,ALZR11,BBPO11,BCFF11,BRCO11,BRCR11,BTCI11,BTHF11,BTLG11,CLIN11,CPSH11,CPTS11,CVBI11,DEVA11,FEXC11,GALG11,GARE11,GGRC11,GTWR11,HABT11,HCTR11,HFOF11,HGBS11,HGCR11,HGLG11,HGRE11,HGRU11,HSML11,IRDM11,ITRI11,JSAF11,JSRE11,KISU11,KNCR11,KNHF11,KNHY11,KNIP11,KNRI11,KNSC11,KNUQ11,KORE11,LVBI11,MALL11,MCCI11,MCHY11,MCRE11,MGFF11,MXRF11,PMLL11,PVBI11,RBRF11,RBRP11,RBRR11,RBRY11,RBVA11,RECR11,RECT11,RZAK11,RZTR11,SAAG11,SARE11,SDIL11,TBOF11,TGAR11,TRBL11,TRXF11,TVRI11,UBSR11,URPR11,VCJR11,VGHF11,VGIP11,VGIR11,VILG11,VINO11,VISC11,VRTA11,XPCI11,XPIN11,XPLG11,XPML11
2020-01-02,144.65,170.3,110.55,139.0,118.93,,,121.9,,,,104.2,,114.0,,,150.8,118.99,122.95,135.0,126.15,301.0,128.78,212.0,203.0,132.97,123.6,141.7,,,121.15,,106.0,,118.3,117.02,199.6,,,,136.78,127.9,109.71,,,130.6,14.12,,,135.47,101.1,112.1,115.0,169.89,,119.9,,,141.5,,149.3,101.2,139.41,,,,109.85,,,,,124.1,149.0,72.37,143.1,144.3,103.7,193.0,150.35,138.77
2020-01-03,148.99,169.99,115.0,138.0,120.0,,,129.5,,,,104.6,,114.56,,,150.0,118.99,124.5,136.5,126.79,301.39,130.0,221.14,208.2,132.49,123.5,141.1,,,120.0,,106.5,,117.0,118.75,199.6,,,,138.4,130.5,109.45,,,132.99,13.75,,,136.0,103.49,111.5,114.05,168.68,,124.06,,,139.95,,153.0,101.5,139.89,,,,110.73,,,,,128.0,147.0,72.5,144.5,146.3,105.0,194.99,149.95,144.5
2020-01-06,146.6,169.0,114.0,137.0,121.5,,,134.49,,,,104.1,,114.5,,,150.15,120.49,124.4,137.3,127.0,300.1,127.1,214.6,211.95,133.99,124.0,140.99,,,121.1,,106.83,,118.1,118.5,197.98,,,,137.93,132.3,106.9,,,129.6,13.16,,,138.7,104.5,112.53,115.0,167.9,,124.7,,,139.6,,154.3,101.5,139.8,,,,111.8,,,,,124.17,148.56,72.48,145.0,142.78,103.0,207.0,145.5,146.57
2020-01-07,144.99,169.9,113.1,135.5,124.0,,,134.15,,,,104.3,,114.4,,,150.9,120.3,123.91,137.33,127.0,294.5,127.99,209.0,213.36,138.69,124.7,139.49,,,121.76,,106.98,,118.45,118.4,198.75,,,,142.99,131.49,110.34,,,124.39,12.94,,,134.25,105.28,111.5,114.5,168.16,,121.51,,,139.99,,147.01,102.5,139.98,,,,111.83,,,,,122.91,143.83,72.38,141.61,144.5,105.0,204.5,140.98,147.0
2020-01-08,138.4,168.0,111.02,138.0,121.21,,,128.2,,,,104.51,,114.9,,,150.0,119.0,121.44,136.95,123.8,287.55,127.19,199.34,206.24,136.6,125.0,138.5,,,122.89,,107.8,,118.68,118.47,187.5,,,,140.75,129.99,111.0,,,121.01,12.5,,,130.95,102.1,109.16,115.99,166.0,,119.0,,,138.5,,138.05,102.0,140.19,,,,111.94,,,,,117.0,139.47,69.96,141.2,140.0,103.6,174.2,140.0,143.9
2020-01-09,138.0,168.8,112.0,137.48,119.07,,,127.37,,,,102.9,,114.06,,,148.98,119.8,120.58,136.93,123.55,289.5,124.7,195.2,206.5,138.5,124.5,137.61,,,121.27,,107.36,,118.05,119.0,181.0,,,,137.56,129.11,110.3,,,118.1,12.45,,,129.78,102.91,108.54,115.99,165.89,,117.0,,,140.0,,137.0,102.0,139.89,,,,110.5,,,,,116.07,140.0,69.75,139.1,139.0,104.02,166.5,136.4,140.7
2020-01-10,139.0,168.53,113.2,135.1,119.65,,,127.48,,,,107.99,,114.72,,,149.99,120.0,114.99,134.0,122.4,289.65,123.02,196.04,209.25,138.88,124.9,139.2,,,119.03,,107.3,,117.5,119.31,178.9,,,,142.71,126.4,112.4,,,118.0,12.53,,,126.5,102.89,110.05,115.94,164.9,,118.49,,,142.94,111.99,142.0,102.47,140.1,,,,111.01,,,,,117.01,142.07,71.0,138.9,143.15,104.3,178.7,139.25,139.7
2020-01-13,139.75,167.0,113.85,134.99,119.17,,,126.8,,,,105.81,,114.5,,,149.75,120.0,114.9,131.45,123.19,293.0,127.19,198.31,208.04,136.0,124.5,137.16,,,120.6,,107.0,,118.2,119.15,183.5,,,,141.0,124.5,111.0,,,118.2,12.62,,,126.0,101.2,110.0,114.0,163.75,,117.84,,,141.11,112.95,140.5,102.65,140.38,,,,111.4,,,,,117.0,143.0,70.09,138.97,143.94,103.94,182.45,139.91,139.7
2020-01-14,141.7,167.49,114.6,129.0,118.0,,,126.9,,,,107.1,,114.37,,,149.0,120.2,115.0,132.3,124.5,294.75,126.9,199.7,208.35,135.7,122.98,137.65,,,118.6,,107.05,,119.1,119.2,184.48,,,,138.33,123.19,110.1,,,118.55,12.69,,,129.95,96.38,109.9,112.5,164.01,,116.01,,,142.0,110.7,142.5,102.5,140.3,,,,111.0,,,,,114.7,140.51,69.5,138.9,143.6,103.34,183.7,139.98,142.0
2020-01-15,140.88,167.64,113.6,130.45,119.95,,,126.9,,,,107.96,,114.65,,,148.18,120.85,113.9,131.7,124.09,294.3,125.32,198.78,207.5,135.5,123.43,132.67,,,120.0,,106.52,,117.75,120.0,182.3,,,,137.8,123.65,110.0,,,119.76,12.66,,,132.76,94.99,108.46,110.76,160.24,,116.5,,,141.99,107.16,142.95,102.0,140.31,,,,111.34,,,,,113.45,139.5,67.56,139.5,141.06,103.03,182.45,138.5,140.99
